iter	Passed	Remaining
0	0	76
1	1	68
2	2	69
3	3	85
4	4	82
5	5	87
6	6	87
7	7	90
8	8	90
9	10	90
10	11	90
11	12	91
12	13	89
13	14	91
14	15	89
15	16	88
16	18	88
17	18	85
18	19	83
19	21	84
20	21	82
21	22	79
22	23	77
23	24	76
24	24	74
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	33	63
35	34	61
36	35	60
37	36	59
38	37	57
39	37	56
40	38	55
41	39	54
42	40	53
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	69	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
