iter	Passed	Remaining
0	180	180572
1	182	91181
2	183	60993
3	184	45879
4	185	36817
5	186	30836
6	187	26551
7	188	23315
8	188	20809
9	189	18793
10	190	17144
11	191	15764
12	192	14592
13	193	13644
14	196	12875
15	198	12197
16	199	11525
17	200	10935
18	201	10411
19	202	9929
20	203	9481
21	204	9077
22	205	8710
23	205	8376
24	206	8068
25	207	7779
26	208	7521
27	210	7293
28	212	7105
29	213	6891
30	214	6691
31	215	6504
32	215	6328
33	216	6162
34	217	6000
35	218	5846
36	219	5702
37	219	5568
38	220	5442
39	221	5320
40	222	5203
41	223	5101
42	224	5003
43	226	4911
44	227	4817
45	228	4729
46	228	4639
47	229	4556
48	230	4476
49	231	4397
50	232	4322
51	233	4250
52	233	4180
53	234	4111
54	235	4044
55	236	3978
56	236	3917
57	237	3862
58	238	3808
59	240	3760
60	241	3711
61	241	3659
62	242	3608
63	243	3560
64	244	3514
65	245	3468
66	245	3425
67	246	3383
68	247	3341
69	248	3299
70	249	3260
71	249	3221
72	250	3183
73	251	3146
74	252	3116
75	253	3083
76	254	3051
77	255	3024
78	256	2992
79	257	2960
80	258	2928
81	258	2897
82	259	2863
83	260	2836
84	260	2808
85	261	2780
86	262	2754
87	263	2727
88	264	2702
89	264	2676
90	265	2652
91	266	2627
92	267	2608
93	268	2588
94	269	2569
95	270	2548
96	271	2526
97	272	2504
98	272	2483
99	273	2465
100	274	2445
101	275	2426
102	276	2409
103	277	2389
104	278	2370
105	278	2351
106	279	2333
107	280	2314
108	281	2298
109	282	2284
110	283	2270
111	284	2257
112	285	2239
113	286	2224
114	286	2208
115	287	2194
116	288	2177
117	289	2162
118	290	2147
119	291	2134
120	291	2120
121	292	2105
122	293	2092
123	294	2080
124	295	2067
125	296	2059
126	297	2047
127	299	2038
128	300	2026
129	300	2013
130	301	2001
131	302	1988
132	303	1977
133	304	1966
134	305	1954
135	305	1942
136	306	1930
137	307	1919
138	308	1907
139	308	1896
140	309	1885
141	310	1873
142	311	1864
143	313	1860
144	314	1856
145	315	1847
146	316	1837
147	317	1826
148	318	1816
149	318	1807
150	319	1797
151	320	1787
152	321	1778
153	321	1768
154	322	1758
155	323	1749
156	324	1740
157	324	1730
158	325	1722
159	327	1717
160	328	1709
161	329	1704
162	330	1696
163	331	1688
164	332	1680
165	332	1672
166	333	1665
167	334	1657
168	335	1650
169	336	1643
170	337	1635
171	338	1628
172	339	1620
173	339	1613
174	341	1611
175	342	1605
176	343	1599
177	344	1592
178	345	1584
179	346	1577
180	347	1570
181	347	1562
182	348	1556
183	349	1548
184	350	1541
185	350	1535
186	351	1528
187	352	1521
188	353	1515
189	353	1508
190	354	1503
191	356	1498
192	357	1493
193	357	1486
194	358	1479
195	359	1473
196	359	1466
197	360	1460
198	361	1454
199	362	1448
200	362	1442
201	363	1436
202	364	1430
203	364	1424
204	365	1418
205	366	1412
206	367	1407
207	368	1401
208	368	1396
209	369	1391
210	371	1387
211	372	1382
212	372	1377
213	373	1371
214	374	1366
215	375	1361
216	375	1356
217	376	1352
218	377	1347
219	378	1343
220	379	1339
221	380	1334
222	381	1329
223	382	1324
224	383	1320
225	383	1314
226	384	1310
227	385	1306
228	386	1302
229	387	1297
230	388	1292
231	389	1287
232	389	1282
233	390	1277
234	391	1273
235	391	1268
236	392	1264
237	393	1259
238	394	1255
239	394	1250
240	395	1246
241	396	1241
242	397	1237
243	398	1233
244	399	1229
245	399	1225
246	400	1221
247	401	1218
248	402	1213
249	403	1209
250	403	1204
251	404	1200
252	405	1196
253	406	1193
254	406	1189
255	407	1185
256	409	1183
257	410	1179
258	410	1175
259	411	1171
260	412	1167
261	413	1164
262	414	1160
263	415	1157
264	416	1154
265	417	1151
266	418	1147
267	418	1144
268	419	1140
269	420	1136
270	421	1132
271	421	1129
272	422	1125
273	423	1122
274	424	1118
275	425	1115
276	425	1111
277	426	1108
278	427	1104
279	428	1101
280	429	1098
281	430	1096
282	431	1092
283	432	1089
284	432	1085
285	433	1082
286	434	1078
287	435	1075
288	435	1072
289	436	1069
290	437	1065
291	438	1062
292	438	1059
293	439	1055
294	440	1052
295	441	1049
296	441	1045
297	442	1042
298	443	1039
299	444	1036
300	445	1034
301	446	1031
302	447	1028
303	447	1025
304	448	1021
305	449	1018
306	449	1015
307	450	1012
308	451	1009
309	451	1006
310	452	1002
311	453	999
312	453	996
313	454	993
314	455	990
315	456	987
316	456	984
317	457	981
318	458	978
319	459	977
320	460	974
321	461	972
322	462	969
323	463	966
324	464	963
325	465	961
326	465	958
327	466	956
328	467	953
329	468	951
330	469	948
331	470	945
332	470	942
333	471	940
334	472	937
335	473	934
336	473	932
337	474	930
338	476	928
339	476	925
340	477	922
341	478	920
342	478	917
343	479	914
344	480	912
345	481	909
346	481	906
347	482	903
348	483	901
349	483	898
350	484	895
351	485	893
352	485	890
353	486	888
354	487	886
355	488	883
356	489	881
357	490	879
358	491	877
359	491	874
360	492	871
361	493	870
362	494	867
363	495	865
364	496	862
365	496	860
366	497	858
367	498	855
368	498	853
369	499	851
370	500	849
371	501	846
372	502	844
373	502	841
374	503	839
375	504	837
376	505	835
377	506	833
